day,turnover
2020-05-23,83000.43
2020-05-24,114487.02000000002
2020-05-25,94066.649999999951
2020-05-26,81938.200000000026
2020-05-27,79236.13
2020-05-28,77895.780000000028
2020-05-29,70726.73000000004
2020-05-30,75725.330000000031
2020-05-31,89656.49
2020-06-01,116375.01999999996
2020-06-02,95061.080000000031
2020-06-03,86045.929999999964
2020-06-04,87258.400000000023
2020-06-05,74624.840000000026
2020-06-06,63237.380000000019
2020-06-07,83931.060000000027
2020-06-08,85875.269999999975
2020-06-09,77395.420000000013
2020-06-10,68992.62999999999
2020-06-11,76054.549999999945
2020-06-12,62761.660000000011
2020-06-13,61355.560000000005
2020-06-14,84985.979999999938
2020-06-15,71909.999999999985
2020-06-16,69511.459999999992
2020-06-17,65688.849999999991
2020-06-18,64990.31
2020-06-19,56179.939999999988
2020-06-20,53377.62000000001
2020-06-21,77937.93
2020-06-22,81896.22
2020-06-23,74749.709999999992
2020-06-24,74726.170000000042
2020-06-25,72784.60000000002
2020-06-26,67317.910000000033
2020-06-27,64091.729999999996
2020-06-28,93585.270000000019
2020-06-29,100712.56000000007
2020-06-30,108818.89000000006
2020-07-01,80499.01
2020-07-02,81179.060000000012
2020-07-03,61470.410000000018
2020-07-04,56536.73
2020-07-05,88878.569999999992
2020-07-06,83352.26
2020-07-07,72273.72000000003
2020-07-08,75421.2
2020-07-09,67829.39
2020-07-10,53392.490000000005
2020-07-11,49628.070000000007
2020-07-12,60786.23000000001
2020-07-13,69107.25
2020-07-14,74182.340000000011
2020-07-15,132909.21000000005
2020-07-16,89987.120000000054
2020-07-17,77068.8
2020-07-18,64309.980000000025
2020-07-19,110267.90000000008
2020-07-20,111929.94000000008
2020-07-21,113911.11000000007
2020-07-22,94530.21000000005
2020-07-23,75930.920000000042
2020-07-24,67878.020000000019
2020-07-25,73601.180000000037
2020-07-26,105563.92000000006
2020-07-27,102080.54000000005
2020-07-28,79128.770000000033
2020-07-29,83631.950000000041
2020-07-30,72544.510000000024
2020-07-31,69087.170000000013
2020-08-01,57975.73
2020-08-02,107304.05000000002
2020-08-03,79524.239999999991
2020-08-04,70851.62
2020-08-05,56292.62000000001
2020-08-06,58475.77
2020-08-07,52759.6
2020-08-08,48266.75
2020-08-09,66793.879999999976
2020-08-10,77378.54
2020-08-11,73252.249999999985
2020-08-12,59539.17
2020-08-13,56958.140000000007
2020-08-14,59123.530000000021
2020-08-15,53991.11
2020-08-16,80673.049999999988
2020-08-17,90388.899999999965
2020-08-18,79869.930000000008
2020-08-19,68315.0
2020-08-20,63247.039999999994
2020-08-21,64142.340000000011
2020-08-22,52444.19999999999
2020-08-23,98660.209999999992
2020-08-24,88755.520000000033
2020-08-25,78296.489999999991
2020-08-26,80834.079999999987
2020-08-27,78280.32
2020-08-28,80388.250000000015
2020-08-29,73822.730000000025
2020-08-30,137393.48
2020-08-31,128486.74999999991
2020-09-01,98514.65
2020-09-02,102616.44999999997
2020-09-03,84331.32
2020-09-04,65424.979999999996
2020-09-05,73467.889999999985
2020-09-06,111578.94999999998
2020-09-07,100356.38000000002
2020-09-08,75206.499999999971
2020-09-09,75872.439999999988
2020-09-10,84315.17
2020-09-11,61359.42
2020-09-12,56726.860000000008
2020-09-13,101622.23999999993
2020-09-14,100009.10999999999
2020-09-15,90704.979999999938
2020-09-16,76170.44
2020-09-17,73502.700000000041
2020-09-18,58753.559999999983
2020-09-19,64551.700000000026
2020-09-20,157838.52000000002
2020-09-21,76548.500000000044
2020-09-22,64377.240000000013
2020-09-23,66407.620000000024
2020-09-24,71522.140000000014
2020-09-25,67537.630000000019
2020-09-26,62642.280000000021
2020-09-27,112710.56000000007
2020-09-28,101143.17000000004
2020-09-29,85389.620000000024
2020-09-30,81343.900000000038
2020-10-01,81816.84
2020-10-02,71273.44
2020-10-03,75076.890000000014
2020-10-04,130730.67000000001
2020-10-05,101923.33000000002
2020-10-06,78126.499999999971
2020-10-07,78730.049999999988
2020-10-08,80289.82
2020-10-09,63818.640000000014
2020-10-10,63042.95
2020-10-11,110662.54000000008
2020-10-12,84435.060000000012
2020-10-13,79271.689999999973
2020-10-14,75593.010000000009
2020-10-15,80681.99000000002
2020-10-16,57836.67
2020-10-17,57665.079999999994
2020-10-18,111276.94000000008
2020-10-19,79910.29
2020-10-20,86606.160000000018
2020-10-21,69976.4
2020-10-22,68148.79
2020-10-23,71973.479999999967
2020-10-24,62029.909999999974
2020-10-25,122931.85000000003
2020-10-26,118974.82000000002
2020-10-27,117756.03000000009
2020-10-28,177114.39000000007
2020-10-29,116037.13000000003
2020-10-30,92495.150000000009
2020-10-31,98262.600000000035
2020-11-01,122226.66000000012
2020-11-02,127734.78000000009
2020-11-03,109076.71000000002
2020-11-04,98342.040000000008
2020-11-05,106254.38000000003
2020-11-06,89145.37999999999
2020-11-07,104024.19
2020-11-08,140698.40000000011
2020-11-09,96734.920000000027
2020-11-10,92175.440000000017
2020-11-11,117298.99000000005
2020-11-12,90401.630000000019
2020-11-13,75348.339999999967
2020-11-14,93091.829999999987
2020-11-15,124195.40000000007
2020-11-16,131143.90000000002
2020-11-17,96502.739999999991
2020-11-18,89563.290000000008
2020-11-19,85654.340000000011
2020-11-20,82296.51
2020-11-21,93592.020000000033
2020-11-22,121962.64000000004
2020-11-23,113227.66000000002
2020-11-24,95585.570000000022
2020-11-25,95852.890000000043
2020-11-26,92490.280000000028
2020-11-27,94781.199999999983
2020-11-28,101708.18000000005
2020-11-29,144966.69000000012
2020-11-30,147488.58000000005
2020-12-01,150943.74000000002
2020-12-02,138212.80000000002
2020-12-03,110246.63000000006
2020-12-04,138496.06000000008
2020-12-05,130391.12000000011
2020-12-06,206380.04999999996
2020-12-07,160218.51000000013
2020-12-08,90699.930000000022
2020-12-09,90211.640000000014
2020-12-10,85601.540000000008
2020-12-11,84253.840000000011
2020-12-12,91756.770000000048
2020-12-13,129506.88000000011
2020-12-14,108169.39000000003
2020-12-15,80273.830000000016
2020-12-16,81588.630000000019
2020-12-17,77564.85000000002
